hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
18,189,0.2978602396544133,0.24611958757877533,0.20375483
19,189,0.11632423448060301,0.11987541344846238,0.19381557
20,189,0.009790575064897252,0.07058043765223232,0.18829376
21,189,0.0,0.4391371865935567,0.17007178
22,189,0.034933647733717155,0.2858310584904042,0.13859746
23,189,0.03103731633685921,0.1474009412832863,0.1109884
24,189,0.03278777294060577,0.3024381276972564,0.1082275
1,190,0.02081589597262688,0.023857974195679255,0.11430149
2,190,0.018897097959442475,0.05902744240487281,0.11319713
3,190,0.018264639132137866,0.030928788460326536,0.11154059
4,190,0.018694310084814623,0.0,0.11264495
5,190,0.0,0.0,0.1109884
6,190,0.026093186284117505,0.0,0.14467145
7,190,0.1805055032920205,0.0,0.15019326
8,190,0.37866784726005864,0.0,0.16510215
9,190,0.566430999478777,0.0,0.24295969
10,190,0.7234318976937301,0.0358448603229501,0.25069023
11,190,0.8337507692009369,0.0,0.26725566
12,190,0.896319179917521,0.036947976085410957,0.26725566
13,190,0.9020235514739892,0.0,0.21148537
14,190,0.8461047067882833,0.0,0.21148537
15,190,0.7683874295410216,0.0,0.18001104
16,190,0.6459806885600269,0.0,0.19657648
17,190,0.49727192388959573,0.0,0.21976808
18,190,0.3111385483781231,0.0,0.20375483
19,190,0.1201029439693503,0.5216886800756428,0.19381557
20,190,0.007930877019816799,0.7507531311403554,0.18829376
21,190,0.0,0.4101915903029308,0.17007178
22,190,0.03405711099823258,0.0,0.13859746
23,190,0.031453716059787126,0.0,0.1109884
24,190,0.03297213194906485,0.10893138751090467,0.1082275
1,191,0.01612879892123574,0.0109292033191719,0.11430149
2,191,0.01616582269277537,0.0,0.11319713
3,191,0.016582581878378348,0.0,0.11154059
4,191,0.01758548382598904,0.0,0.11264495
5,191,0.0,0.0,0.1109884
6,191,0.027844871349382464,0.0,0.14467145
7,191,0.19159652719537382,0.0,0.15019326
8,191,0.39178632838453514,0.0,0.16510215
9,191,0.5773286279138252,0.0,0.24295969
10,191,0.7264187234743055,0.0,0.25069023
11,191,0.8325425362039448,0.0,0.26725566
12,191,0.8902045445751926,0.0,0.26725566
13,191,0.8970883223623958,0.0,0.21148537
14,191,0.7996536122394728,0.0,0.21148537
15,191,0.7498973352874827,0.0,0.18001104
16,191,0.6356982415199092,0.02986994485487018,0.19657648
17,191,0.48906194827720495,0.05249823600747317,0.21976808
18,191,0.30663976937387133,0.04650447954019898,0.20375483
19,191,0.1141078426692996,0.3839189914717292,0.19381557
20,191,0.009298011125812165,0.4317946469157224,0.18829376
21,191,0.0,0.33480690800693,0.17007178
22,191,0.03478233938080792,0.00029843570372680415,0.13859746
23,191,0.03162370605719111,0.0,0.1109884
24,191,0.033280355882008554,0.08969148590147588,0.1082275
1,192,0.013441888029090205,0.0,0.11430149
2,192,0.012043773871337744,0.17580834713748023,0.11319713
